order_id,week,center_id,meal_id,checkout_price,base_price,num_orders,category,cuisine,city_code,region_code,center_type,op_area,discount_percentage,revenue,demand_level,revenue_category,week_type,profit,meal_popularity,discount
1452474,5,43,2290,159.08,311.43,24299,Rice Bowl,Indian,590,56,TYPE_A,5.1,49%,3865484.9200000004,High,High,Start,-3701952.65,High Popularity,152.35
1300512,7,43,2290,159.08,311.43,15336,Rice Bowl,Indian,590,56,TYPE_A,5.1,49%,2439650.8800000004,High,High,Start,-2336439.6,High Popularity,152.35
1087163,6,43,2290,156.2,310.43,14229,Rice Bowl,Indian,590,56,TYPE_A,5.1,50%,2222569.8,Medium,High,Start,-2194538.6700000004,Medium Popularity,154.23000000000002
1470267,5,10,2290,162.99,309.43,13580,Rice Bowl,Indian,590,56,TYPE_B,6.3,47%,2213404.2,Medium,High,Start,-1988655.2,Medium Popularity,146.44
1346216,132,43,1971,204.7,324.04,13150,Sandwich,Italian,590,56,TYPE_A,5.1,37%,2691805.0,Medium,High,End,-1569321.0000000005,Medium Popularity,119.34000000000003
1352978,5,89,2290,162.02,309.43,12489,Rice Bowl,Indian,703,56,TYPE_A,4.8,48%,2023467.78,Medium,High,Start,-1841003.49,Medium Popularity,147.41
1238452,32,146,1754,194.03,268.69,12327,Sandwich,Italian,526,34,TYPE_B,5.0,28%,2391807.81,Medium,High,Mid,-920333.82,Medium Popularity,74.66
1091831,5,137,2290,159.11,307.49,12177,Rice Bowl,Indian,590,56,TYPE_A,4.4,48%,1937482.4700000002,Medium,High,Start,-1806823.26,Medium Popularity,148.38
1002009,5,99,2290,162.02,309.49,12137,Rice Bowl,Indian,596,71,TYPE_A,4.5,48%,1966436.7400000002,Medium,High,Start,-1789843.39,Medium Popularity,147.47
1398441,30,126,1754,144.56,279.36,11380,Sandwich,Italian,577,56,TYPE_A,2.7,48%,1645092.8,Medium,High,Mid,-1534024.0000000002,Medium Popularity,134.8
1400581,5,11,2290,160.05,309.43,11260,Rice Bowl,Indian,679,56,TYPE_A,3.7,48%,1802163.0000000002,Medium,High,Start,-1682018.8,Medium Popularity,149.38
1323375,5,104,2290,163.02,309.43,11246,Rice Bowl,Indian,647,56,TYPE_A,4.5,47%,1833322.9200000002,Medium,High,Start,-1646526.8599999999,Medium Popularity,146.41
1062364,70,43,1754,192.12,279.42,11110,Sandwich,Italian,590,56,TYPE_A,5.1,31%,2134453.2,Medium,High,End,-969903.0000000001,Medium Popularity,87.30000000000001
1352889,132,137,1971,171.72,316.22,11056,Sandwich,Italian,590,56,TYPE_A,4.4,46%,1898536.32,Medium,High,End,-1597592.0000000002,Medium Popularity,144.50000000000003
1470093,5,13,2290,162.02,311.43,10745,Rice Bowl,Indian,590,56,TYPE_B,6.7,48%,1740904.9000000001,Medium,High,Start,-1605410.45,Medium Popularity,149.41
1266310,83,104,1727,240.56,446.23,10544,Rice Bowl,Indian,647,56,TYPE_A,4.5,46%,2536464.64,Medium,High,End,-2168584.48,Medium Popularity,205.67000000000002
1171701,5,51,2290,160.05,310.43,10449,Rice Bowl,Indian,638,56,TYPE_A,7.0,48%,1672362.4500000002,Medium,High,Start,-1571320.6199999999,Medium Popularity,150.38
1233579,5,52,2290,157.14,310.43,10435,Rice Bowl,Indian,685,56,TYPE_B,5.6,49%,1639755.9,Medium,High,Start,-1599581.1500000001,Medium Popularity,153.29000000000002
1030363,5,108,2290,162.05,301.73,10259,Rice Bowl,Indian,579,56,TYPE_B,4.4,46%,1662470.9500000002,Medium,High,Start,-1432977.12,Medium Popularity,139.68
1385397,38,99,2290,171.69,321.13,10193,Rice Bowl,Indian,596,71,TYPE_A,4.5,47%,1750036.17,Medium,High,End,-1523241.92,Medium Popularity,149.44
1342808,68,43,1754,192.09,278.42,10140,Sandwich,Italian,590,56,TYPE_A,5.1,31%,1947792.6,Medium,High,End,-875386.2000000001,Medium Popularity,86.33000000000001
1024409,5,113,2290,163.99,289.09,10124,Rice Bowl,Indian,680,77,TYPE_C,4.0,43%,1660234.76,Medium,High,Start,-1266512.3999999997,Medium Popularity,125.09999999999997
1015919,83,43,1727,230.89,445.23,9855,Rice Bowl,Indian,590,56,TYPE_A,5.1,48%,2275420.9499999997,Medium,High,End,-2112320.7,Medium Popularity,214.34000000000003
1247028,5,59,2290,163.99,309.43,9828,Rice Bowl,Indian,456,56,TYPE_A,4.2,47%,1611693.7200000002,Medium,High,Start,-1429384.32,Medium Popularity,145.44
1127523,7,99,2290,163.02,307.49,9815,Rice Bowl,Indian,596,71,TYPE_A,4.5,47%,1600041.3,Medium,High,Start,-1417973.05,Medium Popularity,144.47
1285985,70,43,1971,192.09,290.03,9773,Sandwich,Italian,590,56,TYPE_A,5.1,34%,1877295.57,Medium,High,End,-957167.6199999996,Medium Popularity,97.93999999999997
1130970,48,113,1754,171.69,281.36,9532,Sandwich,Italian,680,77,TYPE_C,4.0,39%,1636549.08,Medium,High,End,-1045374.4400000002,Medium Popularity,109.67000000000002
1141232,46,157,1885,88.27,91.21,9303,Beverages,Thai,609,93,TYPE_A,4.1,3%,821175.8099999999,Medium,High,End,-27350.819999999978,Medium Popularity,2.9399999999999977
1223278,5,67,2290,161.05,309.43,9249,Rice Bowl,Indian,638,56,TYPE_B,7.0,48%,1489551.4500000002,Medium,High,Start,-1372366.6199999999,Medium Popularity,148.38
1391865,69,43,1754,192.12,278.42,9220,Sandwich,Italian,590,56,TYPE_A,5.1,31%,1771346.4000000001,Medium,High,End,-795686.0000000001,Medium Popularity,86.30000000000001
1439965,83,13,1727,235.71,447.23,9114,Rice Bowl,Indian,590,56,TYPE_B,6.7,47%,2148260.94,Medium,High,End,-1927793.28,Medium Popularity,211.52
1057447,98,157,1885,110.64,110.64,9045,Beverages,Thai,609,93,TYPE_A,4.1,0%,1000738.8,Medium,High,End,0.0,Medium Popularity,0.0
1272014,6,10,2290,159.11,311.43,9044,Rice Bowl,Indian,590,56,TYPE_B,6.3,49%,1438990.84,Medium,High,Start,-1377582.0799999998,Medium Popularity,152.32
1209098,132,67,1971,170.78,310.4,9019,Sandwich,Italian,638,56,TYPE_B,7.0,45%,1540264.82,Medium,High,End,-1259232.7799999998,Medium Popularity,139.61999999999998
1012405,132,13,1971,186.3,323.04,8979,Sandwich,Italian,590,56,TYPE_B,6.7,42%,1672787.7000000002,Medium,High,End,-1227788.4600000002,Medium Popularity,136.74
1019530,32,146,1971,191.09,289.06,8911,Sandwich,Italian,526,34,TYPE_B,5.0,34%,1702802.99,Medium,High,Mid,-873010.67,Medium Popularity,97.97
1363552,5,80,2290,162.99,303.67,8897,Rice Bowl,Indian,604,56,TYPE_C,5.1,46%,1450122.03,Medium,High,Start,-1251629.96,Medium Popularity,140.68
1324747,7,137,2290,160.08,308.49,8884,Rice Bowl,Indian,590,56,TYPE_A,4.4,48%,1422150.7200000002,Medium,High,Start,-1318474.44,Medium Popularity,148.41
1044491,48,43,1971,169.81,324.04,8830,Sandwich,Italian,590,56,TYPE_A,5.1,48%,1499422.3,Medium,High,End,-1361850.9000000001,Medium Popularity,154.23000000000002
1275131,7,51,2290,161.08,309.43,8774,Rice Bowl,Indian,638,56,TYPE_A,7.0,48%,1413315.9200000002,Medium,High,Start,-1301622.9,Medium Popularity,148.35
1033434,5,132,2290,162.99,310.43,8762,Rice Bowl,Indian,522,56,TYPE_A,3.9,47%,1428118.3800000001,Medium,High,Start,-1291869.28,Medium Popularity,147.44
